name,target_score,avoid_score,total_score,military_score,american_wars_score,geopolitics_score,early_america_score,science_tech_score,political_thought_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score
Xiaoyuan Liu,0.8082698801635475,-0.7344121057380291,0.07385777442551844,0.7820663322463395,0.9314102196595948,0.9433032978201814,0.8298729935390248,0.785862788049664,0.6225456355941988,0.6429846856346145,-0.7031766818425056,-0.7891832997205894,-0.7761625970179328,-0.6984173132716694,-0.777839827999017,-0.6170246646197843,-0.747948940363807
John Edwin Mason,0.7492532789799876,-0.7533476379210017,-0.004094358941014065,0.739519656076469,0.8306991852267007,0.6672736521436035,0.8391048291271865,0.7913361497858311,0.697279561668592,0.6238910889317708,-0.6706454831115813,-0.7128143711475319,-0.9338118520338268,-0.6453902956765231,-0.7967799924102651,-0.7296559936008825,-0.7084499569567657
Christian W. McMillen,0.5258592085250758,-0.531001096222902,-0.005141887697826197,0.5507916453102492,0.45122710820124057,0.5521169305864323,0.6173787985379792,0.5065073178406612,0.4531122068654751,0.5095878029996548,-0.5067629125277608,-0.5912503191989803,-0.5022257989875357,-0.5035012909735438,-0.5283375326686073,-0.5392584274553217,-0.5345795151933
Allan Megill,0.7405986064133533,-0.795029607518157,-0.0544310011048037,0.7452879251656032,0.7826490852900003,0.8404216318103637,0.698389814707399,0.7296800696064517,0.7342789980605859,0.6130091447707121,-0.7097836785744784,-0.7734237310946659,-0.9344308994251074,-0.8218622878611339,-0.8277586296960322,-0.7224476051706779,-0.7265528051893223
Elizabeth A. Meyer,0.6005873970481238,-0.6165970208535202,-0.01600962380539639,0.6217074872298896,0.569099104077034,0.6068982809269227,0.631710134288523,0.6556940573939763,0.5726184604260662,0.5269157475682593,-0.5989922432749086,-0.6217254659250838,-0.6346610096269671,-0.6342875084870255,-0.5991985664885837,-0.5968182305981058,-0.6275926047728807
Sarah Milov,0.7400566672880567,-0.780920257978208,-0.04086359069015122,0.7592749924965043,0.676547878441656,0.8276649664091442,0.7797417007526778,0.6896347962325229,0.7936714161906522,0.6025396193289114,-0.6736338040371022,-0.7570604769916579,-0.728356396948451,-0.940418633203287,-0.757116893922132,-0.8506533191383032,-0.6901056547797008
Neeti Nair,0.7943699548346165,-0.7991472900488386,-0.004777335214222078,0.7149208172458734,0.6740952455192412,0.9373378485540518,0.7920853020356713,0.7134263209068035,0.7028366816888898,0.9315191811446633,-0.9404182492353533,-0.7980783251603701,-0.774393867601763,-0.8010533118884056,-0.8051335504825261,-0.7261458392722567,-0.7053357444795079
Brian P. Owensby,0.8226268499764211,-0.8155810264784159,0.007045823498005199,0.746099088254141,0.7017025076981035,0.7692998163355915,0.8681676391510352,0.7745173840987708,0.944733370781531,0.8955859634118107,-0.8040401860455492,-0.8016182129649019,-0.9313186819853264,-0.704491902228018,-0.9468736690234482,-0.6860885574886276,-0.7567371432028905
Kristina Richardson,0.738830391748878,-0.8250405867987711,-0.08621019504989313,0.8228211142900055,0.7382559055671631,0.7574196765033151,0.8098674286039833,0.7326977199839578,0.6405185930816286,0.6216766118987043,-0.6285466945752233,-0.7952459820215374,-0.9279891937205021,-0.717028430047798,-0.9324044645344646,-0.7204421850738447,-0.9364818886288316
Jeffrey Rossman,0.6875351954763128,-0.6909530321259959,-0.0034178366496830925,0.6948168396573381,0.7539735235247614,0.712600897282186,0.7772125040404523,0.6421794377801618,0.636014851266855,0.5370499918041929,-0.6327165500073673,-0.6411462369179786,-0.9269438155638996,-0.6878495507987924,-0.6606690542488862,-0.5611027416936007,-0.5992209160318107
Joseph Seeley,0.7779190086875566,-0.8009479474312402,-0.023028938743683613,0.7845925136227813,0.6771627365984162,0.9390533970720254,0.7627699136634484,0.8064253689987292,0.7172538168016055,0.6972572084309235,-0.7873855597492883,-0.7544009700145713,-0.7007418536306089,-0.6962255750877515,-0.9353527169171475,-0.9270288941697743,-0.7271324615015939
Jennifer Sessions,0.7770545182737242,-0.8274887577069674,-0.05043423943324321,0.8376876701934424,0.8139163752612844,0.7343868751497845,0.8087781071210913,0.7361898012290522,0.8035330884084455,0.6794642144136269,-0.9490217134089416,-0.736522049724483,-0.797320105532109,-0.7054251625419121,-0.9453683855400848,-0.6994893592498594,-0.8732020282085805
David Singerman,0.6800919621115842,-0.7790318778408339,-0.09893991572924976,0.6835110178936303,0.6153634049567119,0.6490410574142258,0.6381472768493136,0.8554102693537365,0.6259904698836279,0.6297769408797756,-0.6948096896871103,-0.6891397149760884,-0.7725347192458195,-0.9328698962751518,-0.7617809851748637,-0.845190021900847,-0.6910502514926877
J.C.A. Stagg,0.845683308171613,-0.6712070667703418,0.17447624140127116,0.937184583100568,0.9390462012481995,0.9247859659883826,0.9415459147974339,0.6480021190755558,0.7291620543606439,0.6574009065591365,-0.6559399578661242,-0.7227233567154854,-0.6865732700144149,-0.6167002063789424,-0.6601590441016315,-0.6327873769633428,-0.7098779338745163
Robert P. Stolz,0.5120703488377587,-0.5776802622736894,-0.0656099134359307,0.5377434529179188,0.47774795224626343,0.5230981458739354,0.5227328383089241,0.49925800338562654,0.5673954568416473,0.43438628628345266,-0.6184754462403461,-0.6472905188496199,-0.5979207892710345,-0.5415603020925029,-0.5596367069690422,-0.48469084848471455,-0.5640992836869185
Lean Sweeney,0.7250599410112225,-0.7819836608311025,-0.05692371981987998,0.7065803747485591,0.6217518858493571,0.9309588367457192,0.776096416264078,0.7182602646846009,0.6383696324121115,0.556563555845139,-0.6573074679508537,-0.7980706816798777,-0.9225053616832996,-0.63674792107108,-0.9471830324203958,-0.6479937318120017,-0.7303791455813048
Amir Syed,0.7814820847332432,-0.7722924002115117,0.009189684521731523,0.7467608456167016,0.7629940650227229,0.821552451532485,0.7863446074361153,0.7581723529771065,0.9240982154291575,0.5953167718852528,-0.7762705776226323,-0.762454015921676,-0.7084712460284678,-0.7216918950435531,-0.934909226493075,-0.7351902495826408,-0.7185625904813855
Alan Taylor,0.7958186092940659,-0.7371854034448586,0.05863320584920728,0.8046854376685563,0.9472897300837421,0.6869207032094535,0.9648331958170554,0.784694240208615,0.633500182476401,0.5739805795662498,-0.7943051823951326,-0.732925493394758,-0.776369802956345,-0.6342952299480442,-0.7892556405275383,-0.6808981238393541,-0.72311008703522
